21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
17,3,3,3,3,8,0,0,0,3,8,0,0,0,8,3,8,0,0,0,0,8,3,8,0,0,0,0,0,0,8,17
17,3,3,8,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,17
17,3,8,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,43,12,0,17
17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17
21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,14,15,0,0,0,0,21,21,21,21,21,21,21,21,21,21
17,3,3,3,3,8,0,0,0,3,8,0,0,0,8,3,22,23,0,8,0,8,3,8,0,0,0,0,0,0,8,17
17,3,3,8,0,0,4,0,0,0,0,0,14,15,0,0,14,15,14,15,0,0,4,0,0,0,0,0,0,4,0,17
17,3,8,0,0,0,12,0,0,0,0,0,22,23,0,0,22,23,22,23,0,0,12,0,0,0,0,0,43,12,0,17
17,3,0,0,0,0,0,0,0,0,0,14,15,14,15,0,14,15,14,15,14,15,0,0,0,0,0,0,0,0,0,17
17,3,0,0,0,0,0,0,0,0,0,22,23,22,23,0,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,17
21,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,14,15,14,15,0,0,0,0,0,0,21
17,0,0,0,0,0,0,0,0,3,8,0,0,0,8,3,8,0,0,0,0,22,23,22,23,0,0,0,0,0,0,17
17,0,14,15,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,15,17,17,17,17,0,0,4,0,17
17,0,22,23,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,22,23,17,36,37,3,0,43,12,0,17
17,14,15,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,17,0,0,3,0,0,14,15,17
17,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,17,1,2,3,0,0,22,23,17
21,21,21,21,21,21,21,21,21,21,3,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
17,3,3,3,3,8,0,0,0,8,0,0,0,0,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
17,3,3,8,0,0,4,0,0,0,0,0,14,15,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,17
17,3,8,0,0,0,12,0,0,0,0,0,22,23,0,12,0,0,0,0,0,0,12,0,0,0,0,0,43,12,0,17
17,3,0,0,0,0,0,0,0,0,0,14,15,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
17,3,0,0,0,0,0,0,0,0,0,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3,0,0,0,0,3,21,21,21,21,21
17,3,3,3,3,8,0,0,0,3,8,0,0,0,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
17,3,3,8,0,0,4,0,0,0,0,0,0,42,0,4,0,0,0,0,0,0,0,14,15,0,0,0,0,4,0,17
17,3,8,0,0,0,12,0,0,0,0,0,43,0,0,12,0,0,0,0,0,42,0,22,23,0,0,0,43,12,0,17
17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,14,15,14,15,0,0,0,0,0,17
17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,22,23,22,23,14,15,9,0,10,17
20,21,21,21,20,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,20,21,21,22,23,20,21,21,21
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
